Product_Name,Category,Brand,Unit_Price
Bird Feeder,Pets,Nutrivix  ,174
Pet Feeder,Footwear  ,Nutrivix  ,251
Electric Car,Industrial Supplies,Vixanta  ,406
Electric Kettle,Automotive & Tools  ,Craftino  ,905
Sleeping Bag,Pets,Toyvanta  ,688
Elliptical,Office Supplies  ,Gravino  ,530
Cat Litter Box,Clothing & Accessories  ,Lunetra  ,557
Electric Kettle,Video Games & Consoles  ,Lunetra  ,584
Suitcase,Health & Fitness,Playnix  ,709
Refrigerator,Cleaning & Household  ,Furnesto  ,451
Smartwatch,Outdoor & Garden,Playnix  ,622
Dishwasher,Pets,Mobelix  ,218
Garden Tools,Bags & Travel  ,Furnesto  ,562
Art Supplies,Jewelry  ,Trendylo  ,862
Backpack,Mobile Phones & Accessories  ,Zenvora  ,863
Thermos,Office Supplies  ,Toyvanta  ,753
Binoculars,Home Appliances,Electrona,807
Cat Litter Box,Office Supplies  ,Nutrivix  ,372
Baseball Glove,Lighting & Electricals  ,Nutrivix  ,442
Mattress,Books & Stationery  ,Toyvanta  ,833
Projector,Sports & Recreation,Fitloop  ,721
Snorkel Gear,Video Games & Consoles  ,Nutrivix  ,138
Dog Leash,Baby & Kids  ,Vixanta  ,551
Thermos,Seasonal Decor  ,Lunetra  ,762
Supplement,Sports & Recreation,Luxurio  ,291
Patio Furniture,Pets,Lunetra  ,957
Jacket,Office Supplies  ,Glowtique  ,665
Washing Machine,Clothing & Accessories  ,Electrona,202
Ski Poles,Arts & Crafts,Winklure  ,350
Plant Pot,Lighting & Electricals  ,Furnesto  ,441
Mattress,Party Supplies  ,Fitloop  ,731
Snorkel Gear,Home Appliances,Mobelix  ,981
Home Security Camera,Health & Fitness,Luxurio  ,671
Pet Carrier,Books & Stationery  ,Glowtique  ,568
Sleeping Bag,Home & Furniture,Fitloop  ,706
Fan,Toys & Games,Nutrivix  ,110
Dog House,Baby & Kids  ,Playnix  ,186
Cooler,Industrial Supplies,Gravino  ,335
Water Filter,Automotive & Tools  ,Nutrivix  ,677
Grill,Mobile Phones & Accessories  ,Vixanta  ,410
Garden Hose,Kitchen & Dining,Dazziva  ,334
Air Purifier,Kitchen & Dining,Fitloop  ,366
Bird Feeder,Hardware & DIY  ,Mobelix  ,520
Tent,Office Supplies  ,Lunetra  ,949
Toy Car,Health & Fitness,Mobelix  ,483
Soccer Ball,Home Appliances,Winklure  ,339
Antivirus,Sports & Recreation,Electrona,391
Golf Clubs,Baby & Kids  ,Gravino  ,412
Pet Toy,Seasonal Decor  ,Nutrivix  ,379
Tent,Toys & Games,Gardora  ,172
Backpack,Sports & Recreation,Zenvora  ,480
Supplement,Beauty & Personal Care  ,Gravino  ,454
Wetsuit,Video Games & Consoles  ,Nutrivix  ,234
Ski Goggles,Arts & Crafts,Lunetra  ,748
Vacuum Cleaner,Industrial Supplies,Shoporia  ,941
Power Bank,Watches & Wearables  ,Luxurio  ,899
Dehumidifier,Outdoor & Garden,Winklure  ,702
Laser Printer,Footwear  ,Toyvanta  ,518
Drone,Cleaning & Household  ,Luxurio  ,276
Plant Pot,Hardware & DIY  ,Dazziva  ,167
Water Filter,Electronics,Petovia  ,336
Garden Hose,Mobile Phones & Accessories  ,Petovia  ,228
Earbuds,Video Games & Consoles  ,Playnix  ,370
Soccer Ball,Books & Stationery  ,Nutrivix  ,358
Helmet,Watches & Wearables  ,Zenvora  ,167
Grill,Industrial Supplies,Mobelix  ,611
Golf Clubs,Industrial Supplies,Dazziva  ,169
Camping Tent,Musical Instruments  ,Dazziva  ,510
