Store_Name,Store_Type,Store_Opening_Date,Address,City,State,Country,Region,Manager_Name
The Unique Quest,Budget Shop,1976-06-04,"122 Rachel Way Suite 425,New Lisaview, AL 94678",Allenside,Wisconsin,Suriname,Rural,Stacie Larson
The Dapper Elegance,Discount Mart,2006-09-20,"1713 Andrew Highway,West Cassandra, AZ 07673",Grahambury,Oklahoma,Christmas Island,South-East,Beth Rivera
The Stylish Shoppe,Bargain Bin,1989-08-17,"9514 Day Mission,Jessicaview, ID 60740",Kylieton,Maine,Niger,International,Daniel Willis
The Polished Corner,Clearance Store,2006-04-01,"8622 Leslie Curve Suite 969,New Bethany, VT 09109",Jasmineside,New York,Barbados,Metro,Christopher Phillips
The Chic Finds,Elite Outlet,1972-11-25,"40778 Crystal Causeway,Lake Mike, KS 17021",North Katrinashire,Hawaii,Micronesia,International,Theresa Cook
The Chic Essentials,SMB (Small & Medium Business),1991-01-01,"36018 Pope Burgs,Gillmouth, UT 41093",Petersonburgh,Kentucky,Burkina Faso,International,Justin Foley
The Vintage Deals,Partner Outlet,1971-11-01,"494 James Locks Apt. 530,East Franciscotown, CA 67499",North Amanda,North Dakota,Saint Martin,Metro,Debbie Bennett
The Modern Corner,Factory Outlet,2023-05-23,"35396 Richardson Points Suite 104,Courtneyburgh, MH 34307",Frazierland,Alabama,Thailand,Inland,Elizabeth Hicks
The Luxe Closet,Factory Outlet,2021-06-01,"172 Christian Springs Apt. 237,Karaberg, FL 82108",Port Mirandaland,West Virginia,Saint Barthelemy,East,Jennifer Cruz
The Stylish Shop,Chain Store,1977-02-16,"8728 Kevin Loop Suite 748,Port Matthewborough, ND 33566",North Paulburgh,Colorado,Guatemala,North-West,Lindsey Lawson
The Timeless Marketplace,Concept Store,2003-09-23,"9901 Castillo Club Apt. 206,Lake Scotttown, TN 63131",Port Matthew,Washington,Malta,Rural,Oscar Young
The Dapper Finds,Concept Store,1979-10-17,"8365 Peter Ways,Jenniferbury, OR 44224",Kristinshire,New Hampshire,Montserrat,Atlantic,Matthew Peterson
The Classy Perfection,EBO (Exclusive Brand Outlet),2011-09-18,"387 Brooks Fort Suite 249,Dunnstad, NV 53558",Hallmouth,Hawaii,Greece,Atlantic,Jeremy Chambers
The Blissful Elegance,Budget Shop,1985-10-01,"08477 Darren Tunnel Suite 704,Mccartyfort, TX 12695",Hartville,Alaska,Antarctica (the territory South of 60 deg S),Inland,Lisa Hunter
The Timeless Avenue,Everyday Value,1972-01-12,"7617 Shah Rapid,East Michael, CT 27455",Nicholaston,South Dakota,Yemen,North-East,Jeffrey Valenzuela
The Harmony Cabinet,Bargain Bin,2015-05-11,"16960 Carter Crest,East Racheltown, PA 34243",Port Whitneyfurt,Iowa,Egypt,Metro,Zachary Cameron
The Rustic Merchant,Department Store,2000-04-14,"8446 Wilson Fall,Huynhview, MP 12466",Jeremiahshire,New Mexico,Saint Barthelemy,North-West,Chad Thomas
The Cozy Enclave,Flagship Store,2000-09-29,"84957 Seth Park,New Mitchell, GU 58976",Nicholeberg,Mississippi,Uzbekistan,International,Charles Watkins
The Eclectic Shop,Chain Store,2020-02-24,"8056 Cooper Hollow,West Brandon, MI 63360",Lake Chris,South Dakota,Tajikistan,Pacific,Audrey Jimenez
The Artisan Deals,Online Exclusive,2007-05-20,"Unit 6506 Box 6757,DPO AA 20803",Kathleenmouth,Tennessee,Somalia,Inland,Xavier Walker
The Serene Deals,Flagship Store,2024-06-07,"1362 Kevin Summit Apt. 419,Weberport, MI 32222",North William,Vermont,Malawi,Rural,David Flowers
The Happy Creations,Factory Outlet,1971-04-04,"45282 Mark Ranch,Lake David, PW 67521",Adamsview,New Hampshire,Isle of Man,South-East,Whitney Russo
The Serene Sanctuary,EBO (Exclusive Brand Outlet),1975-05-04,"294 Susan Lane,Scottland, KY 12608",Ericksonview,Maine,Luxembourg,East,Drew Dominguez
